T11.0   	  R1.64
2550.0 	2050.33576 
2551.0 	2049.22675 
2552.0 	2048.11774 
2553.0 	2047.00873 
2554.0 	2045.89972 
2555.0 	2044.79071 
2556.0 	2043.68170 
2557.0 	2042.57269 
2558.0 	2041.46368 
2559.0 	2040.35467 
2560.0 	2039.24566 
2561.0 	2038.13665 
2562.0 	2037.02764 
2563.0 	2035.91863 
2564.0 	2034.80962 
2565.0 	2033.70061 
2566.0 	2032.59160 
2567.0 	2031.48259 
2568.0 	2030.37358 
2569.0 	2029.26457 
2570.0 	2028.15556 
2571.0 	2027.04655 
2572.0 	2025.93754 
2573.0 	2024.82853 
2574.0 	2023.71953 
2575.0 	2022.61052 
2576.0 	2021.50151 
2577.0 	2019.85483 
2578.0 	2017.87507 
2579.0 	2015.89531 
2580.0 	2013.91556 
2581.0 	2011.93580 
2582.0 	2009.95604 
2583.0 	2007.97628 
2584.0 	2005.99653 
2585.0 	2004.01677 
2586.0 	2002.03701 
2587.0 	2000.05725 
2588.0 	1998.07750 
2589.0 	1996.09774 
2590.0 	1994.11798 
2591.0 	1992.13822 
2592.0 	1990.15846 
2593.0 	1988.17871 
2594.0 	1986.19895 
2595.0 	1984.21919 
2596.0 	1982.23943 
2597.0 	1980.25968 
2598.0 	1978.27992 
2599.0 	1976.30016 
2600.0 	1974.32040 
2601.0 	1972.34064 
2602.0 	1970.36089 
2603.0 	1968.38113 
2604.0 	1966.13156 
2605.0 	1963.49378 
2606.0 	1960.85599 
2607.0 	1958.21820 
2608.0 	1955.58041 
2609.0 	1952.94262 
2610.0 	1950.30483 
2611.0 	1947.66704 
2612.0 	1945.02925 
2613.0 	1942.39146 
2614.0 	1939.75367 
2615.0 	1937.11588 
2616.0 	1934.47809 
2617.0 	1931.84030 
2618.0 	1929.20251 
2619.0 	1926.56473 
2620.0 	1923.92694 
2621.0 	1921.28915 
2622.0 	1918.65136 
2623.0 	1916.01357 
2624.0 	1913.37578 
2625.0 	1910.73799 
2626.0 	1908.10020 
2627.0 	1905.46241 
2628.0 	1902.82462 
2629.0 	1900.18683 
2630.0 	1897.54904 
2631.0 	1894.91125 
2632.0 	1892.27346 
2633.0 	1889.63567 
2634.0 	1886.88248 
2635.0 	1883.72868 
2636.0 	1880.57488 
2637.0 	1877.42108 
2638.0 	1874.26728 
2639.0 	1871.11348 
2640.0 	1867.95968 
2641.0 	1864.80588 
2642.0 	1861.65208 
2643.0 	1858.49828 
2644.0 	1855.34448 
2645.0 	1852.19068 
2646.0 	1849.03688 
2647.0 	1845.88308 
2648.0 	1842.72928 
2649.0 	1839.57548 
